group,id,type,label1,value1,label2,value2,label3,value3,label4,value4,label5,value5,date,observer,url,note,marker,lat,lon
ANSP07,ANSP07B4,"CN analysis, single probe sample",top(cm)=,10,bottom(cm)=,25,%C=,0.665329456,%N=,0.062495023,C/N=,10.64611907,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,
ANSP07,ANSP07B7,"CN analysis, single probe sample",top(cm)=,10,bottom(cm)=,25,%C=,0.643305123,%N=,0.065844402,C/N=,9.770080767,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,
ANSP07,ANSP07C,average CN,top(cm)=,25,bottom(cm)=,40,%C=,0.78,%N=,0.037,C/N=,21.08108108,15-Oct-13,calculated,,
ANSP07,ANSP07C,C variance,top(cm)=,25,bottom(cm)=,40,stdev=,,average=,,CV=,0.49,15-Oct-13,calculated,,"fairly high, one outlier probe sample"
ANSP07,ANSP07C,"CN analysis, 4 composited probe samples",top(cm)=,25,bottom(cm)=,40,%C=,1.010080218,%N=,0.040216725,C/N=,25.11592404,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,carbonates
ANSP07,ANSP07C1,"CN analysis, single probe sample",top(cm)=,25,bottom(cm)=,40,%C=,0.941557586,%N=,0.055070654,C/N=,17.09726552,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,
ANSP07,ANSP07C1,density,top(cm)=,28,bottom(cm)=,32,"dry wt, g=",336.6,cm3=,253.2,bulk density=,1.329383886,15-Oct-13,Peter Donovan,,
ANSP07,ANSP07C10,"CN analysis, single probe sample",top(cm)=,25,bottom(cm)=,40,%C=,0.442338705,%N=,0.032958042,C/N=,13.42126777,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,
ANSP07,ANSP07C4,"CN analysis, single probe sample",top(cm)=,25,bottom(cm)=,40,%C=,0.454435259,%N=,0.026833564,C/N=,16.93532989,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,
ANSP07,ANSP07C7,"CN analysis, single probe sample",top(cm)=,25,bottom(cm)=,40,%C=,0.341373414,%N=,0.020785846,C/N=,16.42335928,15-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,
ANSP07,geometry,,,,,,,,,,,,,,,,,46.91987,-106.72177
ANSP08,ANSP08,*plot summary,"% carbon, 0-10 cm:",1.3,"% carbon, 10-25 cm:",0.934,"% carbon, 25-40 cm:",1.24,,,,,16-Oct-13,Peter Donovan,,,,,
ANSP08,ANSP08,100ang,,,,,,,,,,,16-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp8 002.jpg,,,,
ANSP08,ANSP08,100vert,,,,,,,,,,,16-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp8 001.jpg,,,,
ANSP08,ANSP08,infiltration,minutes=,3.5,mm=,7,mm/min=,2,,,,,16-Oct-13,Peter Donovan,,,,,
ANSP08,ANSP08,map,,,,,,,,,,,16-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ANSP8map.jpg,,,,
ANSP08,ANSP08,minidisk infiltration,tension (cm)=,1,5 minutes (ml)=,8,,,,,,,16-Oct-13,Peter Donovan,,,,,
ANSP08,ANSP08A,"CN analysis, 8 composited probe samples",top(cm)=,0,bottom(cm)=,10,%C=,1.300952673,%N=,0.131482229,C/N=,9.894513399,16-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP08,ANSP08A1,density,top(cm)=,4,bottom(cm)=,8,"dry wt, g=",230.7,cm3=,223.1,bulk density=,1.034065442,16-Oct-13,Peter Donovan,,,,,
ANSP08,ANSP08B,"CN analysis, 8 composited probe samples",top(cm)=,10,bottom(cm)=,25,%C=,0.934355557,%N=,0.094601497,C/N=,9.876752335,16-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP08,ANSP08B1,density,top(cm)=,14,bottom(cm)=,18,"dry wt, g=",318.2,cm3=,228.3,bulk density=,1.393780114,16-Oct-13,Peter Donovan,,,,,
ANSP08,ANSP08C,"CN analysis, 8 composited probe samples",top(cm)=,25,bottom(cm)=,40,%C=,1.241773129,%N=,0.07882791,C/N=,15.75296271,16-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,slight carbonates,,,
ANSP08,ANSP08C1,density,top(cm)=,28,bottom(cm)=,32,"dry wt, g=",288.2,cm3=,200.3,bulk density=,1.438841737,16-Oct-13,Peter Donovan,,,,,
ANSP08,geometry,,,,,,,,,,,,,,,,,46.88383,-106.80643
ANSP09,ANSP09,*plot summary,"% carbon, 0-10 cm:",1.281730294,"% carbon, 10-25 cm:",0.812684774,"% carbon, 25-40 cm:",0.592544138,tons C/ha:,46.4,,,18-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp9 002.jpg,"Sandy loam, 2% SE slope. Some pedestaling, litter dams. Friable, softer surface layer <10cm. Very hard firm sandy >11cm.",small_yellow,,
ANSP09,ANSP09,113ang,,,,,,,,,,,18-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp9 002.jpg,,,,
ANSP09,ANSP09,113vert,% bare=,19,%basal=,31,%lichen=,3,%litter=,46,,,18-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp9 001.jpg,"3 grass species, 2 forbs, some grass recruits",,,
ANSP09,ANSP09,infiltration,minutes=,4,mm=,9,mm/min=,2.25,,,,,18-Oct-13,Peter Donovan,,,,,
ANSP09,ANSP09,map,,,,,,,,,,,18-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ANSP9map.jpg,,,,
ANSP09,ANSP09,minidisk infiltration,tension (cm)=,1,5 minutes (ml)=,4,,,,,,,18-Oct-13,Peter Donovan,,,,,
ANSP09,ANSP09A,"CN analysis, 8 composited probe samples",top(cm)=,0,bottom(cm)=,10,%C=,1.281730294,%N=,0.133901879,C/N=,9.572160615,18-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,slight carbonates,,,
ANSP09,ANSP09A1,density,top(cm)=,4,bottom(cm)=,8,"dry wt, g=",332.2,cm3=,240.8,bulk density=,1.379568106,18-Oct-13,Peter Donovan,,,,,
ANSP09,ANSP09B,"CN analysis, 8 composited probe samples",top(cm)=,10,bottom(cm)=,25,%C=,0.812684774,%N=,0.086120225,C/N=,9.436630824,18-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP09,ANSP09B1,density,top(cm)=,14,bottom(cm)=,18,"dry wt, g=",299.1,cm3=,219,bulk density=,1.365753425,18-Oct-13,Peter Donovan,,,,,
ANSP09,ANSP09C,"CN analysis, 8 composited probe samples",top(cm)=,25,bottom(cm)=,40,%C=,0.592544138,%N=,0.060358819,C/N=,9.817026774,18-Oct-13,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP09,ANSP09C1,density,top(cm)=,28,bottom(cm)=,32,"dry wt, g=",255.7,cm3=,187.8,bulk density=,1.361554846,18-Oct-13,Peter Donovan,,,,,
ANSP09,geometry,,,,,,,,,,,,,,,,,46.92188,-106.90726
ANSP10,ANSP10,*plot summary,"% carbon, 0-10 cm:",1.4,"% carbon, 10-25 cm:",1.85,"% carbon, 25-40 cm:",1.94,tons C/ha:,91.4,,,17-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp10 002.jpg,"T110 Johnson pasture. Firm loam, lighter >8 cm. Some pedestaling. ",small_yellow,,
ANSP10,ANSP10,44ang,,,,,,,,,,,17-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp10 002.jpg,,,,
ANSP10,ANSP10,44vert,,,,,,,,,,,17-Oct-13,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp10 001.jpg,,,,
ANSP10,ANSP10,infiltration,minutes=,4,mm=,4,mm/min=,1,,,,,17-Oct-13,Peter Donovan,,,,,
